Rental_state;Start;End;Revenue;Distance;duration_minute;revenue_minute;revenue_km;car_id;accum_distance;battery_left;reset_flag;segment;running_duration;running_revenue;profitable_minutes;Incentive20;Incentive15;Incentive10;Incentive5
RED;58:42,6;15:31,2;3,43;11;16,80971667;0,20404865;0,311818182;1;57;71,5;0;1000012;82,46208333;17,79;0;-20;-15;-10;-5
RED;16:06,7;21:03,1;1,01;1;4,939716667;0,204465168;1,01;1;58;71;0;1000012;87,4018;18,8;0;-20;-15;-10;-5
RED;48:15,9;03:28,9;3,03;6;15,21608333;0,199131402;0,505;1;64;68;0;1000012;102,6178833;21,83;0;-20;-15;-10;-5
RED;10:14,4;21:28,9;2,22;3;11,24168333;0,197479322;0,74;1;67;66,5;0;1000012;113,8595667;24,05;0;-20;-15;-10;-5
RED;29:14,6;40:18,3;2,22;3;11,0611;0,200703366;0,74;1;70;65;0;1000012;124,9206667;26,27;0;-20;-15;-10;-5
RED;40:58,1;22:58,6;7,83;9;42,0084;0,186391293;0,87;1;79;60,5;0;1000012;166,9290667;34,1;0;-20;-15;-10;-5
RED;25:51,7;45:09,0;3,83;8;19,2881;0,198568029;0,47875;1;87;56,5;0;1000012;186,2171667;37,93;0;-20;-15;-10;-5
RED;46:56,0;27:49,3;7,22;4;40,88715;0,176583597;1,805;1;91;54,5;0;1000012;227,1043167;45,15;0;-20;-15;-10;-5
RED;40:00,8;56:40,3;3,35;4;16,65883333;0,201094514;0,8375;1;95;52,5;0;1000012;243,76315;48,5;0;-20;-15;-10;-5
RED;41:24,1;54:07,0;2,62;4;12,71376667;0,206075829;0,655;1;99;50,5;0;1000012;256,4769167;51,12;0;-20;-15;-10;-5
RED;14:44,4;25:18,4;2,22;3;10,56725;0,21008304;0,74;1;102;49;0;1000012;267,0441667;53,34;0;-20;-15;-10;-5
RED;54:05,8;03:23,0;1,82;4;9,286766667;0,195977789;0,455;1;106;47;0;1000012;276,3309333;55,16;0;-20;-15;-10;-5
RED;06:26,7;33:12,8;5,45;8;26,76821667;0,203599667;0,68125;1;114;43;0;1000012;303,09915;60,61;0;-20;-15;-10;-5
RED;34:07,3;09:41,1;6,81;8;35,5639;0,191486311;0,85125;1;122;39;0;1000012;338,66305;67,42;0;-20;-15;-10;-5
RED;15:05,9;40:03,5;6,51;17;24,96003333;0,260816959;0,382941176;1;139;30,5;0;1000012;363,6230833;73,93;0;-20;-15;-10;-5
RED;59:23,6;20:20,2;5,47;8;20,94358333;0,261177847;0,68375;1;147;26,5;0;1000012;384,5666667;79,4;0;-20;-15;-10;-5
RED;23:18,3;31:46,6;1,82;3;8,471183333;0,214846017;0,606666667;1;150;25;0;1000012;393,03785;81,22;0;-20;-15;-10;-5
RED;49:01,8;05:39,9;3,14;3;16,63578333;0,188749753;1,046666667;1;153;23,5;0;1000012;409,6736333;84,36;0;-20;-15;-10;-5
RED;07:06,9;27:58,7;5,75;6;20,86326667;0,275604012;0,958333333;1;159;20,5;0;1000012;430,5369;90,11;0;-20;-15;-10;-5
RED;31:08,9;44:09,8;2,62;5;13,01511667;0,201304381;0,524;1;5;97,5;1;1000013;13,01511667;2,62;0;-20;-15;-10;-5
RED;55:10,1;03:19,4;1,61;4;8,15415;0,197445473;0,4025;1;9;95,5;0;1000013;21,16926667;4,23;0;-20;-15;-10;-5
RED;06:33,1;16:48,5;2,02;4;10,25586667;0,196960439;0,505;1;13;93,5;0;1000013;31,42513333;6,25;0;-20;-15;-10;-5
RED;17:05,4;38:05,7;4,15;8;21,00585;0,197564012;0,51875;1;21;89,5;0;1000013;52,43098333;10,4;0;-20;-15;-10;-5
RED;38:59,1;10:30,6;6,17;10;31,52466667;0,195719754;0,617;1;31;84,5;0;1000013;83,95565;16,57;0;-20;-15;-10;-5
RED;38:37,8;45:25,8;1,82;3;6,800216667;0,267638531;0,606666667;1;34;83;0;1000013;90,75586667;18,39;0;-20;-15;-10;-5
RED;02:16,8;15:02,1;2,62;5;12,7555;0,205401591;0,524;1;39;80,5;0;1000013;103,5113667;21,01;0;-20;-15;-10;-5
RED;42:27,6;00:05,1;3,63;5;17,62348333;0,205975171;0,726;1;44;78;0;1000013;121,13485;24,64;0;-20;-15;-10;-5
RED;48:51,0;58:58,6;2,02;2;10,12691667;0,199468413;1,01;1;46;77;0;1000013;131,2617667;26,66;0;-20;-15;-10;-5
RED;06:12,6;21:40,5;3,23;4;15,46465;0,20886344;0,8075;1;50;75;0;1000013;146,7264167;29,89;0;-20;-15;-10;-5
RED;36:20,8;53:50,6;24,18;14;137,4969667;0,175858425;1,727142857;1;64;68;0;1000013;284,2233833;54,07;0;-20;-15;-10;-5
RED;03:47,9;18:58,3;3,03;5;15,17205;0,199709334;0,606;1;69;65,5;0;1000013;299,3954333;57,1;0;-20;-15;-10;-5
RED;51:03,1;12:58,4;4,44;6;21,92276667;0,202529182;0,74;1;75;62,5;0;1000013;321,3182;61,54;0;-20;-15;-10;-5
RED;16:04,9;24:45,4;1,82;2;8,675916667;0,209776104;0,91;1;77;61,5;0;1000013;329,9941167;63,36;0;-20;-15;-10;-5
RED;25:58,5;49:18,3;4,64;12;23,32998333;0,198885697;0,386666667;1;89;55,5;0;1000013;353,3241;68;0;-20;-15;-10;-5
RED;59:13,1;28:12,2;7,55;21;28,9847;0,260482254;0,35952381;1;110;45;0;1000013;382,3088;75,55;0;-20;-15;-10;-5
RED;01:19,5;03:10,2;14,6;16;61,84346667;0,236079909;0,9125;1;126;37;0;1000013;444,1522667;90,15;0;-20;-15;-10;-5
RED;24:22,2;33:58,7;2,61;3;9,60815;0,271644385;0,87;1;129;35,5;0;1000013;453,7604167;92,76;0;-20;-15;-10;-5
RED;50:05,5;58:47,2;2,57;2;8,695383333;0,295559138;1,285;1;131;34,5;0;1000013;462,4558;95,33;0;-20;-15;-10;-5
RED;12:05,3;39:57,1;5,56;6;27,86345;0,199544565;0,926666667;1;137;31,5;0;1000013;490,31925;100,89;0;-20;-15;-10;-5
RED;53:10,2;05:19,5;2,21;2;12,15476667;0,181821672;1,105;1;139;30,5;0;1000013;502,4740167;103,1;0;-20;-15;-10;-5
RED;15:46,5;30:13,7;2,74;3;14,45276667;0,189583079;0,913333333;1;142;29;0;1000013;516,9267833;105,84;0;-20;-15;-10;-5
RED;38:04,8;55:56,0;3,55;2;17,85295;0,198846689;1,775;1;144;28;0;1000013;534,7797333;109,39;0;-20;-15;-10;-5
RED;14:13,3;16:06,7;0,4;1;1,88945;0,211701818;0,4;1;145;27,5;0;1000013;536,6691833;109,79;0;-20;-15;-10;-5
RED;24:40,0;37:15,6;2,62;7;12,59401667;0,208035297;0,374285714;1;152;24;0;1000013;549,2632;112,41;9,2632;-10,7368;-5,7368;-0,7368;4,2632
RED;41:25,8;48:33,1;1,41;4;7,12275;0,19795725;0,3525;1;156;22;0;1000013;556,38595;113,82;16,38595;-3,61405;1,38595;6,38595;11,38595
RED;08:55,2;15:54,7;1,41;2;6,991;0,201687884;0,705;1;158;21;0;1000013;563,37695;115,23;23,37695;3,37695;8,37695;13,37695;18,37695
RED;32:51,6;44:07,9;2,09;3;11,27198333;0,185415462;0,696666667;1;3;98,5;1;1000014;11,27198333;2,09;0;-20;-15;-10;-5
RED;08:16,8;33:02,2;7,14;8;24,75665;0,288407357;0,8925;1;11;94,5;0;1000014;36,02863333;9,23;0;-20;-15;-10;-5
RED;46:22,5;04:42,6;3,63;7;18,33573333;0,197974083;0,518571429;1;18;91;0;1000014;54,36436667;12,86;0;-20;-15;-10;-5
RED;50:06,4;00:41,1;2,22;3;10,5784;0,209861605;0,74;1;21;89,5;0;1000014;64,94276667;15,08;0;-20;-15;-10;-5
RED;04:40,9;12:35,4;2,08;1;7,908233333;0,263017024;2,08;1;22;89;0;1000014;72,851;17,16;0;-20;-15;-10;-5
RED;13:16,7;34:11,5;4,24;9;20,91268333;0,202747774;0,471111111;1;31;84,5;0;1000014;93,76368333;21,4;0;-20;-15;-10;-5
RED;40:34,4;05:40,5;4,79;7;25,10241667;0,190818281;0,684285714;1;38;81;0;1000014;118,8661;26,19;0;-20;-15;-10;-5
RED;32:12,3;46:44,0;2,82;5;14,52893333;0,19409546;0,564;1;43;78,5;0;1000014;133,3950333;29,01;0;-20;-15;-10;-5
RED;09:01,8;20:43,0;3,43;4;11,68671667;0,293495607;0,8575;1;47;76,5;0;1000014;145,08175;32,44;0;-20;-15;-10;-5
RED;31:41,0;30:45,3;13,65;20;59,07108333;0,231077529;0,6825;1;67;66,5;0;1000014;204,1528333;46,09;0;-20;-15;-10;-5
RED;37:02,9;46:19,3;1,82;3;9,272333333;0,196282849;0,606666667;1;70;65;0;1000014;213,4251667;47,91;0;-20;-15;-10;-5
RED;50:59,1;58:35,4;1,61;2;7,605116667;0,211699579;0,805;1;72;64;0;1000014;221,0302833;49,52;0;-20;-15;-10;-5
