Rental_state,Start,End,Revenue,Distance,duration_minute,revenue_minute,revenue_km,car_id,battery_left,profitable_minutes,Incentive20,Incentive15,Incentive10,Incentive5
RED,2017-02-24 15:11:58.998,2017-02-24 15:30:41.501,3.83,7,18.708383333333334,0.20472105642479352,0.5471428571428572,8,45.49999999999999,15.527283333333344,-4.472716666666656,0.5272833333333438,5.527283333333344,10.527283333333344
RED,2017-02-24 16:13:52.165,2017-02-24 16:35:50.925,4.44,10,21.979333333333333,0.20200794685917076,0.44400000000000006,8,40.5,37.50661666666667,17.506616666666673,22.506616666666673,27.506616666666673,32.50661666666667
RED,2017-02-24 20:55:45.926,2017-02-24 21:17:14.606,4.44,11,21.478,0.20672315858087345,0.4036363636363637,8,35.0,58.984616666666625,38.984616666666625,43.984616666666625,48.984616666666625,53.984616666666625
RED,2017-02-24 22:17:18.145,2017-02-24 22:34:09.645,3.43,6,16.858333333333334,0.20346020761245676,0.5716666666666667,8,32.0,75.84294999999997,55.84294999999997,60.84294999999997,65.84294999999997,70.84294999999997
RED,2017-02-24 22:36:11.724,2017-02-24 22:44:29.671,1.49,2,8.299116666666666,0.17953717965968266,0.745,8,31.0,84.14206666666666,64.14206666666666,69.14206666666666,74.14206666666666,79.14206666666666
RED,2017-02-25 09:22:20.462,2017-02-25 09:30:12.379,1.61,2,7.865283333333333,0.20469701239836668,0.805,8,30.0,92.00734999999997,72.00734999999997,77.00734999999997,82.00734999999997,87.00734999999997
RED,2017-02-25 09:40:31.374,2017-02-25 09:53:28.899,2.62,4,12.95875,0.20217999421240476,0.655,8,28.0,104.96609999999998,84.96609999999998,89.96609999999998,94.96609999999998,99.96609999999998
RED,2017-02-25 10:22:16.677,2017-02-25 10:33:23.769,2.22,5,11.1182,0.19967260887553742,0.44400000000000006,8,25.5,116.08429999999998,96.08429999999998,101.08429999999998,106.08429999999998,111.08429999999998
RED,2017-02-25 10:34:48.891,2017-02-25 10:44:30.532,1.82,3,9.694016666666666,0.18774467412029072,0.6066666666666667,8,24.0,125.77831666666668,105.77831666666668,110.77831666666668,115.77831666666668,120.77831666666668
RED,2017-02-25 10:51:04.218,2017-02-25 10:59:02.097,1.61,2,7.964650000000001,0.2021432203549434,0.805,8,23.0,133.7429666666667,113.74296666666669,118.74296666666669,123.74296666666669,128.7429666666667
RED,2017-03-01 16:04:47.591,2017-03-02 07:25:52.705,66.39,84,921.0852333333333,0.07207802014124136,0.7903571428571429,8,28.5,498.44068333333325,478.44068333333325,483.44068333333325,488.44068333333325,493.44068333333325
RED,2017-03-02 08:49:03.146,2017-03-02 08:52:31.030,0.61,0,3.464733333333333,0.17605972561620903,inf,8,28.5,501.9054166666667,481.9054166666667,486.9054166666667,491.9054166666667,496.9054166666667
RED,2017-03-02 11:27:40.727,2017-03-02 11:36:27.225,2.57,2,8.774966666666668,0.29287860542680116,1.285,8,27.5,510.68038333333334,490.68038333333334,495.68038333333334,500.68038333333334,505.68038333333334
RED,2017-03-02 13:04:32.622,2017-03-02 13:22:06.480,3.63,7,17.5643,0.20666920970377414,0.5185714285714286,8,24.0,528.2446833333333,508.24468333333334,513.2446833333333,518.2446833333333,523.2446833333333
RED,2017-03-04 16:06:30.082,2017-03-04 16:35:28.447,7.25,9,28.97275,0.25023513473867687,0.8055555555555556,8,51.0,7.067750000000046,-12.932249999999954,-7.932249999999954,-2.9322499999999536,2.0677500000000464
RED,2017-03-04 19:19:44.320,2017-03-04 19:22:07.305,0.61,1,2.3830833333333334,0.255970906039095,0.61,8,50.5,9.450833333333321,-10.549166666666679,-5.549166666666679,-0.5491666666666788,4.450833333333321
RED,2017-03-04 20:29:55.103,2017-03-04 20:42:56.532,2.62,4,13.023816666666667,0.20116990795069034,0.655,8,48.5,22.474649999999997,2.474649999999997,7.474649999999997,12.474649999999997,17.474649999999997
RED,2017-03-04 23:38:13.899,2017-03-04 23:53:02.418,3.03,10,14.80865,0.20461014339592062,0.303,8,43.50000000000001,37.283300000000054,17.283300000000054,22.283300000000054,27.283300000000054,32.283300000000054
RED,2017-03-05 10:26:03.753,2017-03-05 11:03:40.656,6.78,6,37.61505,0.18024700219725884,1.1300000000000001,8,40.5,74.89835000000005,54.89835000000005,59.89835000000005,64.89835000000005,69.89835000000005
RED,2017-03-05 15:06:03.438,2017-03-05 15:19:04.676,2.62,5,13.020633333333334,0.20121909072523353,0.524,8,38.0,87.91898333333336,67.91898333333336,72.91898333333336,77.91898333333336,82.91898333333336
RED,2017-03-05 17:37:05.437,2017-03-05 17:46:36.821,2.02,5,9.523066666666667,0.21211654509051706,0.404,8,35.5,97.44205,77.44205,82.44205,87.44205,92.44205
RED,2017-03-05 17:49:30.690,2017-03-05 18:07:20.980,3.63,8,17.838166666666666,0.20349624868026422,0.45375,8,31.5,115.28021666666666,95.28021666666666,100.28021666666666,105.28021666666666,110.28021666666666
RED,2017-03-06 10:59:52.978,2017-03-06 11:20:58.613,4.24,9,21.093916666666665,0.2010058192132803,0.47111111111111115,8,27.0,136.37413333333336,116.37413333333336,121.37413333333336,126.37413333333336,131.37413333333336
RED,2017-03-06 14:04:05.576,2017-03-06 14:14:06.747,2.02,4,10.019516666666668,0.20160653125317088,0.505,8,25.0,146.39364999999998,126.39364999999998,131.39364999999998,136.39364999999998,141.39364999999998
RED,2017-03-06 14:42:37.909,2017-03-06 14:48:26.238,1.21,2,5.805483333333333,0.20842364546161818,0.605,8,24.0,152.1991333333333,132.1991333333333,137.1991333333333,142.1991333333333,147.1991333333333
RED,2017-03-06 14:52:58.926,2017-03-06 14:59:27.936,1.21,2,6.4835,0.18662759312099944,0.605,8,23.0,158.68263333333334,138.68263333333334,143.68263333333334,148.68263333333334,153.68263333333334
RED,2017-03-06 15:00:47.470,2017-03-06 15:16:38.984,3.02,2,15.858566666666666,0.1904333514798521,1.51,8,22.0,174.5412,154.5412,159.5412,164.5412,169.5412
RED,2017-03-20 12:35:20.717,2017-03-20 13:07:34.540,6.49,13,32.230383333333336,0.2013627927685212,0.49923076923076926,8,20.5,26.6866,6.6865999999999985,11.686599999999999,16.6866,21.6866
RED,2017-04-08 20:49:45.575,2017-04-08 21:16:18.398,5.07,5,26.547050000000002,0.19098167216319703,1.014,8,34.5,16.04331666666667,-3.9566833333333307,1.0433166666666693,6.043316666666669,11.04331666666667
RED,2017-04-08 21:17:18.554,2017-04-08 21:33:15.539,4.17,8,15.94975,0.26144610417091174,0.52125,8,30.5,31.993066666666664,11.993066666666664,16.993066666666664,21.993066666666664,26.993066666666664
